lookback,val_rmse,test_rmse,test_rmse_1step,accuracy,precision,recall,f1,River
7,2.452859299730604,1.729304068693658,1.6382509322608623,0.5716694772344013,0.27906976744186046,0.37735849056603776,0.3208556149732621,Illinois Waterway
14,2.4231223370712858,1.7237468549949082,1.665247692323295,0.6013513513513513,0.35135135135135137,0.5723270440251572,0.4354066985645933,Illinois Waterway
30,2.471858133243806,1.774084974177544,1.7210460148470912,0.48135593220338985,0.27927927927927926,0.5849056603773585,0.3780487804878049,Illinois Waterway
60,2.445896826411028,1.7193197294305906,1.6930438065912683,0.6581196581196581,0.3359375,0.2721518987341772,0.30069930069930073,Illinois Waterway
7,2.7888791329287663,2.8583622670007705,2.84244073713601,0.6074270557029178,0.3717948717948718,0.2265625,0.28155339805825247,Mississippi River
14,2.7860285590002345,2.8768542148432763,2.8297489324051215,0.621765096217651,0.375,0.169921875,0.23387096774193547,Mississippi River
30,2.808560562006266,2.8554922024454603,2.815207535685553,0.6232558139534884,0.4403470715835141,0.396484375,0.4172661870503598,Mississippi River
60,2.7995445060649993,2.872946952964087,2.8314756619368078,0.6246666666666667,0.4373522458628842,0.3627450980392157,0.3965702036441586,Mississippi River
