SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,LOL,Pool,VertDatum
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1173_rm,1,117.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.185161290322583,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1175_rm,1,117.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.186451612903227,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1176_rm,1,117.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.187096774193549,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1177_rm,1,117.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.187741935483871,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1179_rm,1,117.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.189032258064515,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1181_rm,1,118.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.190322580645159,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1183_rm,1,118.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.191612903225803,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1184_rm,1,118.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.192258064516125,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1185_rm,1,118.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.192903225806447,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1187_rm,1,118.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.194193548387091,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1188_rm,1,118.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.194838709677413,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1191_rm,1,119.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.196774193548379,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1192_rm,1,119.200000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.197419354838701,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1194_rm,1,119.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.198709677419345,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1195_rm,1,119.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.199354838709667,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1196_rm,1,119.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.199999999999989,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1198_rm,1,119.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.203488372092977,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1201_rm,1,120.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.208720930232573,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1202_rm,1,120.200000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.210465116279067,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1203_rm,1,120.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.212209302325562,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1205_rm,1,120.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.215697674418607,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1206_rm,1,120.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.217441860465101,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1208_rm,1,120.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.220930232558089,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1209_rm,1,120.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.222674418604640,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1211_rm,1,121.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.226162790697686,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1213_rm,1,121.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.229651162790674,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1214_rm,1,121.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.231395348837225,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1216_rm,1,121.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.234883720930213,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1217_rm,1,121.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.236627906976707,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1219_rm,1,121.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.240116279069753,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1221_rm,1,122.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.243604651162798,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1222_rm,1,122.200000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.245348837209292,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_SRK_2370_rm,1,237.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,458.500000000000000,SR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1550_rm,1,155.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,429.934146341463418,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_MAR_2450_rm,1,245.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,482.800000000000011,MA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_MAR_2460_rm,1,246.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,482.800000000000011,MA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_MAR_2470_rm,1,247.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,482.800000000000011,MA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0811_rm,1,81.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0813_rm,1,81.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0815_rm,1,81.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0816_rm,1,81.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0818_rm,1,81.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0819_rm,1,81.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0821_rm,1,82.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0823_rm,1,82.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0824_rm,1,82.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0826_rm,1,82.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0827_rm,1,82.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0829_rm,1,82.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0831_rm,1,83.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0832_rm,1,83.200000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1224_rm,1,122.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.248837209302337,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1226_rm,1,122.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.252325581395326,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1227_rm,1,122.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.254069767441877,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1228_rm,1,122.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.255813953488371,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1231_rm,1,123.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.261046511627910,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1232_rm,1,123.200000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.262790697674404,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1234_rm,1,123.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.266279069767450,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1235_rm,1,123.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.268023255813944,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1236_rm,1,123.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.269767441860438,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1238_rm,1,123.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.273255813953483,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1239_rm,1,123.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.274999999999977,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1242_rm,1,124.200000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.280232558139517,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1243_rm,1,124.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.281976744186011,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1245_rm,1,124.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.285465116279056,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1246_rm,1,124.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.287209302325550,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1247_rm,1,124.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.288953488372101,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0834_rm,1,83.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0836_rm,1,83.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0838_rm,1,83.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0839_rm,1,83.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0842_rm,1,84.200000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0843_rm,1,84.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0845_rm,1,84.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0846_rm,1,84.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0847_rm,1,84.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0849_rm,1,84.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0851_rm,1,85.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0853_rm,1,85.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0854_rm,1,85.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0856_rm,1,85.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0857_rm,1,85.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0858_rm,1,85.799999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1352_rm,1,135.199999999999989,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.472093023255809,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1354_rm,1,135.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.475581395348854,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1355_rm,1,135.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.477325581395348,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1356_rm,1,135.599999999999994,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.479069767441842,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1358_rm,1,135.800000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.482558139534888,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1359_rm,1,135.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.484302325581382,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1362_rm,1,136.199999999999989,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.489534883720921,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1363_rm,1,136.300000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.491279069767415,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1364_rm,1,136.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.493023255813966,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1366_rm,1,136.599999999999994,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.496511627906955,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1367_rm,1,136.700000000000017,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.498255813953506,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1369_rm,1,136.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.502325581395326,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1371_rm,1,137.099999999999994,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.506976744186034,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1373_rm,1,137.300000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.511627906976742,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1374_rm,1,137.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.513953488372067,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1375_rm,1,137.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.516279069767450,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1660_rm,1,166.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0861_rm,1,86.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_0863_rm,1,86.299999999999997,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.000000000000000,LA,NGVD1929
