SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,LOL,Pool,VertDatum
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1500_rm,1,150.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,429.812195121951220,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1948_rm,1,194.800000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1953_rm,1,195.300000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1956_rm,1,195.599999999999994,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1959_rm,1,195.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000732600732590,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1964_rm,1,196.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.004395604395597,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_SRK_2375_rm,1,237.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,458.500000000000000,SR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_SRK_2379_rm,1,237.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,458.500000000000000,SR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_SRK_2383_rm,1,238.300000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,458.500000000000000,SR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_SRK_2387_rm,1,238.700000000000017,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,458.500000000000000,SR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1310_rm,1,131.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,429.398837209302314,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_2010_rm,1,201.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,440.038095238095252,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_SRK_2390_rm,1,239.000000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,2,458.500000000000000,SR,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1072_rm,1,107.200000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.120000000000005,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1076_rm,1,107.600000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.122580645161293,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1079_rm,1,107.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.124516129032259,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1084_rm,1,108.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.127741935483868,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1087_rm,1,108.700000000000003,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.129677419354834,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1091_rm,1,109.100000000000009,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.132258064516122,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1095_rm,1,109.500000000000000,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.134838709677410,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1474_rm,1,147.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.748780487804879,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_LAG_1478_rm,1,147.800000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,429.758536585365846,LA,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1864_rm,1,186.400000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1868_rm,1,186.800000000000011,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1872_rm,1,187.200000000000017,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1876_rm,1,187.599999999999994,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000000000000000,PE,NGVD1929
,,"The river miles are not positioned to the authorized project design, but have been moved to the sailing line for cartographic reasons.",,markNotPhysicallyInstalled,mvril_PEO_1879_rm,1,187.900000000000006,,5,20130522,Confluence with the Upper Mississippi River,ILLINOIS RIVER,1,440.000000000000000,PE,NGVD1929
