SDSID,SDSFEATURENAME,SDSFEATUREDESCRIPTION,SDSMETADATAID,DISTANCEMARKCATEGORY,DISTANCEMARKERIDPK,CATDIS,WTWDIS,UNLOCD,HUNITS,SORDAT,DIS_REF,WATERWAY,RULEID,Pool,PoolElev,VertDatum
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4892_rm,1,489.200012210000011,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,15,561.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4886_rm,1,488.600006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,15,561.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4884_rm,1,488.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,15,561.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4883_rm,1,488.299987789999989,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,15,561.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4543_rm,1,454.299987789999989,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4476_rm,1,447.600006099999973,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4465_rm,1,446.500000000000000,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4454_rm,1,445.399993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4443_rm,1,444.299987789999989,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
,,Mississippi River - The river miles were originally digitized from the war department quads of the 1930's.  River mile positions are not from the authorized project design and have been cartographically modified to match the sailing line.,,markNotPhysicallyInstalled,mvrum_4429_rm,1,442.899993900000027,,5,20130522,Confluence with the Ohio River,UPPER MISSISSIPPI,1,17,536.000000000000000,MSL1912
