Dataset,Accuracy,Precision,Recall,F1_Score,Model
Illinois Waterway,0.729235880398671,0.7225433526011561,0.5208333333333334,0.6053268765133173,xGBoost
Mississippi River,0.6841406768414068,0.5628140703517588,0.42585551330798477,0.4848484848484848,xGBoost
Combined,0.6388751850024667,0.552924791086351,0.49133663366336633,0.5203145478374835,xGBoost
Illinois Waterway,0.7743589743589744,0.7558139534883721,0.3693181818181818,0.4961832061068703,LSTM
Mississippi River,0.8612408272181454,0.7663551401869159,0.8945454545454545,0.825503355704698,LSTM
